rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
9,LH,rm.9_fc.LH,0.615663214285714,0.897,0.122238003438166,0.153237864544484,0.505574507276407,0.106455514165353,0.1,0.402663631335138,0.215974719407214,0.207652417051064,0.0714285714285714,0.142857142857143,2287.40932621616,6.1896535804467,0.0153942809250978,4
10,LH,rm.10_fc.LH,0.612504285714286,0.898,0.156349569664623,0.124355082918561,0.529163023156514,0.135486301407459,0.043,0.357382148406996,0.215974719407214,0.207652417051064,0.0714285714285714,0.142857142857143,2288.16602448995,6.9463518542434,0.0105449485522936,4
1,LQH,rm.1_fc.LQH,0.749440714285714,0.95,0.211148135727083,0.101127772484941,0.553269512567274,0.0786019230607405,0.4175,0.297884205690735,0.3461915658712,0.256966538827954,0.106543532744906,0.0422816130508366,4373.53425968846,2092.31458705275,0,77
2,LQH,rm.2_fc.LQH,0.703531904761905,0.926,0.226170406823596,0.138137143776482,0.473878524811306,0.104382667560971,0.2035,0.345834738952967,0.348261959245941,0.270506210924207,0.0822981366459627,0.13715086468056,2430.46651743344,149.246844797728,1.3270431252488e-33,43
3,LQH,rm.3_fc.LQH,0.653996666666667,0.887,0.203505610891103,0.150637872139806,0.461279253749497,0.117092010147261,0.088,0.437955096632825,0.371036286368094,0.216628418215487,0.0595238095238095,0.119047619047619,2304.16288927616,22.9432166404554,3.54298581045353e-06,15
4,LQH,rm.4_fc.LQH,0.634990238095238,0.893,0.18993491145258,0.151486407820432,0.463895513748338,0.112420392098184,0.04875,0.45868244280039,0.312329737386946,0.26155602230735,0.0595238095238095,0.119047619047619,2292.75812191111,11.5384492754033,0.00106141001229193,9
5,LQH,rm.5_fc.LQH,0.630473809523809,0.887,0.188302815825099,0.138061629591408,0.459839434612945,0.0932174904086347,-0.03525,0.412793229111137,0.234172387490465,0.268433581109167,0.0595238095238095,0.119047619047619,2292.15888113252,10.9392084968063,0.00143220986814206,8
6,LQH,rm.6_fc.LQH,0.625006666666667,0.874,0.169844851307385,0.139963624482892,0.47248600504255,0.0927630379529695,0.0345,0.353033048500184,0.225591151792525,0.264584971984748,0.0714285714285714,0.142857142857143,2294.23292945581,13.0132568200966,0.000507729959828861,8
7,LQH,rm.7_fc.LQH,0.619365952380952,0.881,0.154141156460043,0.144206693387122,0.482889350064451,0.0950692365121879,-0.0175,0.363219401097096,0.250653808434129,0.281274878512742,0.0714285714285714,0.142857142857143,2290.95371959282,9.73404695711133,0.00261640014784713,6
8,LQH,rm.8_fc.LQH,0.617300238095238,0.877,0.140812817033135,0.152291727155074,0.496337257373657,0.109802831771676,-0.072,0.397736093408682,0.250653808434129,0.246931099121185,0.0714285714285714,0.142857142857143,2291.90142036512,10.6817477294153,0.00162897176615747,6
9,LQH,rm.9_fc.LQH,0.613415714285714,0.883,0.188198310389169,0.130328228262239,0.53103764741918,0.157489083523822,-0.09075,0.351031218934537,0.227879481311976,0.231211922712205,0.0595238095238095,0.119047619047619,2290.61758907,9.39791643428816,0.00309523751597095,5
10,LQH,rm.10_fc.LQH,0.607318095238095,0.87,0.184207474058355,0.130420137843334,0.539335762169553,0.157729180360191,-0.0515,0.436755843311417,0.215974719407214,0.207652417051064,0.0714285714285714,0.142857142857143,2289.29412883682,8.07445620110866,0.00599901183569761,4
1,LQHP,rm.1_fc.LQHP,0.764020952380952,0.933,0.187404432286574,0.0995460530703549,0.576541167309516,0.0759911242156605,0.40875,0.295013417773949,0.273210199411572,0.195793974216757,0.0488721804511278,0.0673901236077632,3113.53970021264,832.320027576933,6.24349873296415e-182,70
2,LQHP,rm.2_fc.LQHP,0.716136904761905,0.936,0.234190562849861,0.138479152672013,0.472365957576096,0.114403691035327,0.13825,0.339172891015777,0.343903236351749,0.265116535732857,0.114906832298137,0.14031402794913,2316.98768626512,35.7680136294075,5.81433607805437e-09,25
3,LQHP,rm.3_fc.LQHP,0.673340119047619,0.87,0.198208927420751,0.139272180056353,0.469358534753637,0.113935488079918,-0.0555,0.444493344532101,0.335322000653808,0.197463404343746,0.0714285714285714,0.142857142857143,2295.18207862097,13.9624059852604,0.00031588402872478,13
4,LQHP,rm.4_fc.LQHP,0.636544285714286,0.831,0.166519500371219,0.153699012793806,0.48731311725284,0.112562578984537,-0.04625,0.491824070849188,0.291843739784243,0.214717660260049,0.0595238095238095,0.119047619047619,2288.98496648448,7.7652938487754,0.0070018607683526,7
5,LQHP,rm.5_fc.LQHP,0.632594880952381,0.806,0.134993283974613,0.157599765991573,0.524921346745221,0.142057343419471,0.1595,0.515779345586204,0.239784243216737,0.288223448939592,0.0476190476190476,0.0952380952380952,2289.11369626485,7.89402362914188,0.00656538432531659,6
6,LQHP,rm.6_fc.LQHP,0.628305833333333,0.807,0.158072971492666,0.133965819440113,0.532527183061828,0.157529408893099,0.0115,0.510875392504539,0.227879481311976,0.299566574141036,0.0357142857142857,0.0714285714285714,2286.37616135145,5.15648871574058,0.0258052640561087,4
7,LQHP,rm.7_fc.LQHP,0.625150119047619,0.816,0.117753209500419,0.150318380678128,0.474716485905314,0.0926231275003502,NA,NA,0.227879481311976,0.299566574141036,0.0357142857142857,0.0714285714285714,2287.80101282367,6.58134018796363,0.01265627029912,4
8,LQHP,rm.8_fc.LQHP,0.609737857142857,0.841,0.1182324149493,0.151252160591203,0.474247251555457,0.093546644195042,NA,NA,0.227879481311976,0.299566574141036,0.0357142857142857,0.0714285714285714,2287.9259477568,6.70627512109468,0.0118898524569353,3
9,LQHP,rm.9_fc.LQHP,0.606622261904762,0.83,0.118232510395685,0.151252260161027,0.4742467833375,0.0935466109300597,NA,NA,0.227879481311976,0.299566574141036,0.0357142857142857,0.0714285714285714,2288.94083344613,7.72116081041895,0.00715808478425716,3
10,LQHP,rm.10_fc.LQHP,0.600974166666667,0.841,0.0981613458939463,0.162848816037249,0.469060639108858,0.0906394783346308,NA,NA,0.206140350877193,0.315911282550335,0.0357142857142857,0.0714285714285714,2290.06921292238,8.84954028666698,0.00407166789954044,3
